29250	4.3141	4.3056
29500	4.2960	4.3030
29750	4.3182	4.3073
30000	4.3039	4.3090
30250	4.3181	4.3039
30500	4.2906	4.3078
30750	4.3064	4.3034
31000	4.2992	4.3105
31250	4.3144	4.3047
31500	4.3013	4.3060
31750	4.3033	4.3098
32000	4.2981	4.3034
32250	4.3053	4.3052
32500	4.3161	4.3036
32750	4.3044	4.3053
33000	4.2952	4.2927
33250	4.2956	4.2822
33500	4.3019	4.2961
33750	4.3009	4.2993
34000	4.3134	4.3078
34250	4.2907	4.2832
34500	4.2866	4.3058
34750	4.2892	4.2914
35000	4.2862	4.3003
35250	4.2889	4.2834
35500	4.2985	4.2887
35750	4.2875	4.2852
36000	4.2997	4.2857
36250	4.2906	4.2857
36500	4.2927	4.2897
36750	4.2822	4.2897
37000	4.2823	4.2911
37250	4.3022	4.3037
37500	4.2782	4.2794
37750	4.2867	4.2844
38000	4.2916	4.2791
38250	4.2834	4.2868
38500	4.2778	4.2835
38750	4.2880	4.2921
39000	4.2951	4.2879
39250	4.2826	4.2923
39500	4.2869	4.2810
39750	4.2699	4.2782
40000	4.2743	4.2775
40250	4.2893	4.2798
40500	4.2661	4.2751
40750	4.2674	4.2813
41000	4.2824	4.2872
41250	4.2724	4.2863
41500	4.2731	4.2815
41750	4.2778	4.2870
42000	4.2840	4.2943
42250	4.2619	4.2891
42500	4.2898	4.2689
42750	4.2831	4.2752
43000	4.2695	4.2790
43250	4.2751	4.2719
43500	4.2607	4.2855
43750	4.2801	4.2858
44000	4.2692	4.2592
44250	4.2811	4.2791
44500	4.2726	4.2753
44750	4.2715	4.2903
45000	4.2861	4.2696
45250	4.2833	4.2720
45500	4.2843	4.2732
45750	4.2748	4.2751
46000	4.2692	4.2761
46250	4.2699	4.2749
46500	4.2720	4.2725
46750	4.2572	4.2726
47000	4.2679	4.2578
47250	4.2701	4.2755
47500	4.2705	4.2690
47750	4.2678	4.2601
48000	4.2657	4.2748
48250	4.2718	4.2666
48500	4.2640	4.2641
48750	4.2788	4.2664
49000	4.2598	4.2685
49250	4.2764	4.2628
49500	4.2726	4.2634
49750	4.2739	4.2582
50000	4.2704	4.2549
50250	4.2713	4.2556
50500	4.2660	4.2707
50750	4.2557	4.2607
51000	4.2544	4.2661
51250	4.2626	4.2700
51500	4.2620	4.2660
51750	4.2747	4.2706
52000	4.2589	4.2605
52250	4.2718	4.2520
52500	4.2620	4.2594
52750	4.2557	4.2563
53000	4.2701	4.2661
53250	4.2671	4.2668
